Designator,Footprint,Quantity,Value,LCSC Part #
"C1001, C1002, C1003, C402, C405, C406, C407, C408, C413, C601, C602, C606, C613, C710, C711, C713, C714, C715, C716, C718, C801, C802, C803, C804, C807, C808, C809, C901, C902",0402,29,100n X7R 50V,
"C1201, C1202, C1203",0603,3,1n X7R 1kV,
"C401, C404, C411, C717, C810, C811, C812, C813",0603,8,1u X7R 50V,
"C403, C604, C611, C704, C705",1206,5,10u X7R 50V,
"C409, C410, C607",0402,3,10p X7R 25V,
C412,0402,1,10n X7R 50V,
"C603, C605, C610, C612, C614, C719, C720",0805,7,4u7 X7R 50V,
"C608, C609",0603,2,22u X5R 50V,
"C701, C702, C703, C706, C707, C708",CP_Elec_8x11.9,6,56u 63V,
"C709, C712",0402,2,470n X7R 50V,
"C805, C806",0603,2,470p X7R 200V,
D1001,D5V0P4UR6SO-7 SOT95P285X140-6N,1,D5V0P4UR6SO-7,
D1002,SOT-143,1,PRTR5V0U2X,
"D501, D502",DIOM5436X244N,2,SMBJ33CA,
"D503, D504",DIOM5436X244N,2,SMBJ33A,
"D701, D702",D_SMF,2,V1FM10-M3/H,
D801,STPS15L60CB-TR,1,STPS15L60CB-TR,
"D802, D803",D_SOD-523,2,ZHCS350TA,
"FB601, FB602",742792096,2,1k @ 100MHz,
IC601,LTC3126EUFD,1,LTC3126IUFD#PBF,
"IC801, IC802",LTC7000EMSE#PBF,2,LTC7000EMSE#PBF,
IC803,TPS3701DDCR,1,TPS3701DDCR,
J1001,FTSH-107-XX-YYY-DV-K,1,FTSH-107-01-F-DV-K,
J1002,GCT_USB4105-GF-A,1,USB4105-GF-A,
J1003,PinSocket_2x04_P2.54mm_Vertical_OLED,1,PPTC042LFBN-RC,
"J501, J503",AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,2,XT60PW-M,
"J502, J504",AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,2,XT60PW-F,
J702,CONN_S2B-PH-SM4-TB_JST,1,S2B-PH-SM4-TB,
"JP401, JP402, JP701",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,Solder Jumper,
L401,LQG15WH2N0B02D,1,2n (0.1n),
L402,MHQ1005P24NGTD25,1,24n 2%,
L601,0805,1,4u7,
L701,78439369033,1,3u3,
LED1101,1206,1,YELLOW,
"LED601, LED801, LED802",BIVAR_LED_1206,3,RED,
LED701,BIVAR_LED_0805,1,ORANGE,
LED702,KingBright_LED_0805,1,GREEN,
Q1101,SOT-23-3,1,PMV90ENER,
"Q701, Q702, Q703, Q704",BSC059N04LS6ATMA1,4,BSC059N04LS6ATMA1,
"Q801, Q802, Q803, Q804",TDSON-8-1,4,CSD18540Q5B,
"R1001, R1002, R1003, R1004, R401, R402, R403, R404, R405, R406, R407, R408, R409, R603, R604, R605, R606, R718, R721, R722, R820, R821, R822",0402,23,10k 1%,
"R1005, R1006, R1007, R1008, R1011, R1012, R1013, R1014",0402,8,27R 1%,
"R1009, R1010",0402,2,5k1 1%,
"R1101, R602, R719, R720",0402,4,56R 1% 0.1W,
"R1102, R801, R811, R812, R819",0402,5,100R 1% 0.2W,
"R1103, R823, R824",0402,3,100k 1%,
"R1201, R1202, R1203, R703, R704, R709, R710, R712, R803, R806, R815, R816",0603,12,0R 1%,
"R601, R609",0402,2,1R 1%,
R607,0603,1,909k 1%,
R608,0603,1,301k 1%,
R610,0402,1,44k2 1%,
"R701, R702",2010,2,5m 1% 1W,
"R705, R706, R707, R708, R714, R817, R818",0402,7,10R 1%,
R711,0402,1,249k 0.1%,
R713,0402,1,14k 0.1%,
R715,0402,1,40k 0.1%,
R716,0402,1,5k 1%,
R717,0402,1,1k 1%,
"R802, R807",2010,2,1k 1% 2W,
"R804, R805",1206,2,1m 1% 2W,
R808,0805,1,240k 1%,
"R809, R810",0402,2,20k5 1%,
"R813, R814",0603,2,178k 1%,
"S401, S402, S801",B3U1100PB,3,B3U-1100P-B,
U401,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3FN8,
U701,QFN-36-1EP_5x6mm_P0.5mm_EP3.6x4.6mm,1,BQ25756E,
U901,INA239AQDGSRQ1,1,INA239AQDGSRQ1,
Y401,XTAL_ECS-400-10-33B-CKM-TR,1,ECS-400-10-33B-CKM-TR,
