Designator,Mid X,Mid Y,Rotation,Layer
C1001,55.775,58.0,180.0,top
C1002,88.295,55.5,0.0,top
C1003,88.275,60.75,0.0,top
C1202,97.75,10.0,0.0,top
C401,82.025,62.25,180.0,top
C402,82.025,61.0,180.0,top
C403,74.8,48.1,180.0,top
C404,75.75,50.75,90.0,top
C405,76.95,50.25,90.0,top
C406,77.505,51.75,180.0,top
C407,85.505,56.25,0.0,top
C408,75.525,59.0,90.0,top
C409,72.575,53.8,0.0,top
C410,72.575,59.0,180.0,top
C411,74.275,52.5,270.0,top
C412,75.525,53.2,270.0,top
C413,79.625,49.0,90.0,top
C601,90.925,31.95,180.0,top
C602,94.575,31.95,0.0,top
C603,87.475,37.3,0.0,top
C604,87.675,33.2,0.0,top
C605,87.75,31.05,0.0,top
C606,88.4,29.1,180.0,top
C607,94.575,32.975,180.0,top
C608,92.125,35.8,0.0,top
C609,95.15,35.8,180.0,top
C610,98.25,39.5,180.0,top
C611,97.9,34.025,270.0,top
C612,97.625,30.45,0.0,top
C613,88.95,27.5,270.0,top
C614,90.7,24.75,180.0,top
C701,39.5,6.05,90.0,top
C702,30.25,6.05,90.0,top
C703,17.625,4.7,0.0,top
C704,24.6,2.75,90.0,top
C705,1.4,22.925,90.0,top
C706,35.525,29.5,180.0,top
C707,26.7,44.5,270.0,top
C708,35.5,38.4,180.0,top
C709,25.4,16.2,180.0,top
C710,23.9,16.75,270.0,top
C711,23.9,24.0,270.0,top
C712,30.9,33.93,90.0,top
C713,26.9,14.7,270.0,top
C714,23.9,14.7,270.0,top
C715,27.08,25.2,180.0,top
C716,28.98,25.2,0.0,top
C717,30.1,14.87,0.0,top
C718,30.45,16.4,0.0,top
C719,21.85,21.25,90.0,top
C720,21.9,24.7,90.0,top
C801,55.275,27.0,180.0,top
C802,60.7,46.2,180.0,top
C803,62.1,32.2,270.0,top
C804,60.68,44.2,0.0,top
C805,63.9,34.7,180.0,top
C806,60.95,36.2,0.0,top
C807,42.275,27.25,270.0,top
C808,50.775,27.5,90.0,top
C809,56.775,35.75,0.0,top
C810,57.275,34.25,0.0,top
C811,53.525,31.5,270.0,top
C812,50.025,44.1,180.0,top
C813,50.025,42.6,180.0,top
C901,62.725,53.3,90.0,top
C902,62.725,55.48,270.0,top
D1001,62.7,64.9,270.0,top
D1002,89.325,57.95,270.0,top
D501,52.3,20.2,0.0,top
D502,20.0,38.5,90.0,top
D503,20.1,55.1,270.0,top
D504,77.95,20.25,180.0,top
D701,22.0,17.15,90.0,top
D702,23.25,27.6,180.0,top
D801,46.525,32.75,90.0,top
D802,63.4,32.5,90.0,top
D803,60.8,42.4,270.0,top
FB601,87.475,35.35,0.0,top
FB602,98.05,37.525,180.0,top
FM1201,2.0,50.0,0.0,top
FM1202,50.0,5.0,0.0,top
FM1203,98.0,50.25,0.0,top
IC601,92.7,28.75,90.0,top
IC801,57.775,31.0,0.0,top
IC802,55.563,42.75,0.0,top
IC803,53.775,37.0,90.0,top
J1001,56.39,64.25,270.0,top
J1002,97.25,57.45,90.0,top
J1003,76.215,67.02,90.0,top
J501,52.351394,13.2575,180.0,top
J502,12.8875,38.9,90.0,top
J503,12.8875,54.95,90.0,top
J504,78.045,13.238543,180.0,top
J701,9.73,1.75,0.0,top
J702,94.9,18.75,90.0,top
L401,77.95,50.235,90.0,top
L402,75.175,54.6,0.0,top
L601,92.75,33.25,90.0,top
L701,14.5,21.7,270.0,top
LED1101,88.775,66.5,0.0,top
LED601,89.25,41.215,180.0,top
LED701,36.2,18.8,180.0,top
LED702,36.2,20.85,180.0,top
LED801,66.275,3.4,90.0,top
LED802,89.775,3.4,90.0,top
Q1101,84.525,65.3625,270.0,top
Q701,18.23,11.98,270.0,top
Q702,5.38,25.48,0.0,top
Q703,10.88,11.98,270.0,top
Q704,5.34,18.18,0.0,top
Q801,63.575,24.595,90.0,top
Q802,77.975,25.45,270.0,top
Q803,67.62,39.95,0.0,top
Q804,73.91,39.95,0.0,top
R1001,61.75,61.25,90.0,top
R1002,63.3,61.8,180.0,top
R1003,64.74,68.8,180.0,top
R1004,61.75,68.3,270.0,top
R1005,62.75,68.3,270.0,top
R1006,64.74,67.8,180.0,top
R1007,65.05,63.25,90.0,top
R1008,63.25,60.75,180.0,top
R1009,90.275,55.5,0.0,top
R1010,90.275,60.75,0.0,top
R1011,86.525,57.45,0.0,top
R1012,86.525,58.45,0.0,top
R1013,70.05,65.75,270.0,top
R1014,76.4,63.3,180.0,top
R1101,88.275,64.25,0.0,top
R1102,84.525,62.0,0.0,top
R1103,85.525,60.75,0.0,top
R401,66.775,58.5,270.0,top
R402,68.025,58.5,270.0,top
R403,71.025,52.25,90.0,top
R404,80.025,61.0,180.0,top
R405,68.9,64.75,270.0,top
R406,69.275,59.5,90.0,top
R407,35.7,23.45,180.0,top
R408,78.2,48.5,0.0,top
R409,85.5,47.7,90.0,top
R601,90.925,33.1,180.0,top
R602,88.575,43.1,180.0,top
R603,95.275,43.9,0.0,top
R604,95.275,41.95,0.0,top
R605,95.275,40.0,0.0,top
R606,95.225,45.55,0.0,top
R607,95.15,34.275,0.0,top
R608,97.4,26.7,0.0,top
R609,96.075,32.45,90.0,top
R610,96.85,27.95,0.0,top
R701,25.4,12.1,180.0,top
R702,26.9,33.95,90.0,top
R703,12.25,7.6,90.0,top
R704,24.6,25.7,180.0,top
R705,25.9,14.69,270.0,top
R706,24.9,14.7,270.0,top
R707,29.45,33.4,180.0,top
R708,29.45,34.4,180.0,top
R709,10.1,7.6,90.0,top
R710,5.85,14.025,0.0,top
R711,32.7,24.6,0.0,top
R712,28.0,16.4,180.0,top
R713,31.2,24.15,90.0,top
R714,23.3,21.3,270.0,top
R715,31.7,17.4,0.0,top
R716,32.7,22.55,0.0,top
R717,32.7,23.6,0.0,top
R718,89.25,15.95,270.0,top
R719,33.7,19.1,90.0,top
R720,33.7,21.05,270.0,top
R721,34.2,17.35,180.0,top
R722,35.7,22.35,180.0,top
R801,66.275,13.81,270.0,top
R802,66.275,9.6,270.0,top
R803,66.25,28.5,180.0,top
R804,55.275,24.45,0.0,top
R805,60.975,50.25,0.0,top
R806,63.1,37.8,180.0,top
R807,89.775,9.7,270.0,top
R808,52.275,27.5,90.0,top
R809,54.265,34.0,180.0,top
R810,53.1,39.7,180.0,top
R811,60.85,33.85,180.0,top
R812,60.7,45.2,0.0,top
R813,62.9,30.4,0.0,top
R814,60.7,38.7,270.0,top
R815,62.9,28.5,0.0,top
R816,59.1,38.7,270.0,top
R817,64.7,32.3,270.0,top
R818,58.6,36.1,90.0,top
R819,51.775,30.5,90.0,top
R820,51.775,32.75,90.0,top
R821,53.775,29.0,270.0,top
R822,51.525,39.25,270.0,top
R823,60.05,28.05,0.0,top
R824,57.3,39.75,180.0,top
S401,82.525,49.675,180.0,top
S402,88.525,49.675,180.0,top
S801,94.175,9.8,90.0,top
U401,80.275,56.35,180.0,top
U701,27.525,20.825,270.0,top
U901,66.475,54.25,180.0,top
Y401,72.475,56.4375,90.0,top
