"Reference","Value","Datasheet","Footprint","Qty","DNP","Link"
"FL1,FL2","ACE1V2012-222-R","https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-ace1v2012-automotive-common-mode-chip-inductor-data-sheet.pdf","0_inductor:ACE1V2012-222-R","2","","https://www.digikey.ch/en/products/detail/eaton-electronics-division/ACE1V2012-222-R/12349622"
"J1,J2,J3,J4","CLIK-Mate 502584","https://www.digikey.ch/en/products/detail/molex/2132250410/11565257","Connector_Molex:Molex_CLIK-Mate_505405-0470_1x04-1MP_P1.50mm_Vertical","4","","https://www.digikey.ch/en/products/detail/molex/2132250410/11565257"
"U2,U4","PESD2CANFD27V-TR","https://assets.nexperia.com/documents/data-sheet/PESD2CANFD27V-T.pdf","Package_TO_SOT_SMD:SOT-23","2","","https://www.digikey.ch/en/products/detail/nexperia-usa-inc/PESD2CANFD27V-TR/11686246"
"C1,C4,C6,C9","4.7uF","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL05A475MP5NRNC_Spec.pdf","Capacitor_SMD:C_0402_1005Metric","4","","https://www.digikey.ch/en/products/detail/samsung-electro-mechanics/CL05A475MP5NRNC/3887140"
"C5,C10","4.7nF","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL05B472KB5NNNC_Spec.pdf","Capacitor_SMD:C_0402_1005Metric","2","","https://www.digikey.ch/en/products/detail/samsung-electro-mechanics/CL05B472KB5NNNC/3886783"
"J5","02x20 2.54 mm Female Socket","","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","1","","https://www.digikey.ch/en/products/detail/samtec-inc/SSW-120-02-G-D-LL/7881642"
"C2,C3,C7,C8","100nF","https://www.yuden.co.jp/productdata/catalog/mlcc06_e.pdf","Capacitor_SMD:C_0402_1005Metric","4","","https://www.digikey.ch/en/products/detail/taiyo-yuden/UMK105B7104KV-FR/4157221"
"R1,R4","4k7","https://www.te.com/usa-en/product-3-2176325-3.datasheet.pdf","Resistor_SMD:R_0402_1005Metric","2","","https://www.digikey.ch/en/products/detail/te-connectivity-passive-product/CRGP0402F4K7/8576965"
"U1,U3","TCAN1051HGVDRBRQ1","https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftcan1051-q1","0_various:HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm_ThermalVias","2","","https://www.digikey.ch/en/products/detail/texas-instruments/TCAN1051HGVDRBRQ1/8106053"
"R2,R3,R5,R6","60R","https://www.vishay.com/docs/20043/crcwhpe3.pdf","Resistor_SMD:R_0603_1608Metric","4","","https://www.digikey.ch/en/products/detail/vishay-dale/CRCW060360R4FKEAHP/2226044"
"J6","24 Pin Header","http://katalog.we-online.de/en/em/BHD_2_54_MALE_BOX_HEADER_6120XX21621","Connector_PinSocket_2.54mm:PinSocket_2x12_P2.54mm_Vertical","1","","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/61202421621?qs=PhR8RmCirEYBKLgPBp9Ypg%3D%3D"
