"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C4,C5,C12","100nF","~","Capacitor_SMD:C_0402_1005Metric","5",""
"C3,C7","1uF","~","Capacitor_SMD:C_0402_1005Metric","2",""
"C6","2.2uF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C8,C9","4.7nF","https://www.mouser.ch/datasheet/2/40/cx5r_KGM-3223198.pdf","Capacitor_SMD:C_0402_1005Metric","2",""
"C10","10uF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C11","22uF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"CR1,CR2","PESD2CANFD27V-TR","https://assets.nexperia.com/documents/data-sheet/PESD2CANFD27V-T.pdf","footprints:SOT23_PESD2_NEX","2",""
"D1","RED","https://eu.mouser.com/datasheet/2/588/asset_pdf_5183563-3418814.pdf","LED_SMD:LED_0603_1608Metric","1",""
"D2,D3,D4,D5,D6,D7","PESD5V0S1UL_315","https://assets.nexperia.com/documents/data-sheet/PESD5V0S1UL.pdf","footprints:DIO_PESD5V0S1UL_315","6",""
"J1,J2","5025850670","https://www.molex.com/en-us/products/part-detail/5025850670?display=pdf","footprints:CON_5025850670","2",""
"R1,R3,R4,R7,R8","60R","-- mixed values --","Resistor_SMD:R_0402_1005Metric","5",""
"R2","10k","~","Resistor_SMD:R_0402_1005Metric","1",""
"R5,R6","4k7","~","Resistor_SMD:R_0402_1005Metric","2",""
"SW1","CAS-220TA","https://www.nidec-copal-electronics.com/e/catalog/switch/cas.pdf","0_switch_button:7M25000MAAJT","1",""
"U1","LIS3MDL","https://www.st.com/resource/en/datasheet/lis3mdl.pdf","Package_LGA:LGA-12_2x2mm_P0.5mm","1",""
"U2","BMI088","https://www.mouser.ch/datasheet/2/783/BST_BMI088_DS001-1509549.pdf","footprints:BMI088","1",""
"U3","LT3960JMSE-PBF","https://www.mouser.ch/datasheet/2/609/lt3960-1921786.pdf","footprints:LT3960","1",""
"U4","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U5","D5V0H1B2LP-7B","https://www.diodes.com/assets/Datasheets/D5V0H1B2LP.pdf","footprints:D5V0H1B2LP_7B","1",""
