Digikey ref,Total quantity
1276-1482-1-ND,5
587-3498-1-ND,35
478-5717-1-ND,10
490-13339-1-ND,10
445-6893-1-ND,5
490-GRM155Z71A225KE44DCT-ND,10
712-1401-1-ND,10
587-2984-1-ND,10
478-5778-1-ND,85
SMBJ3V3-E3/5BGICT-ND,10
492-1325-1-ND,5
492-1324-1-ND,15
497-7231-1-ND,5
353-SMF5.0CA-TPCT-ND,10
160-1445-1-ND,50
497-3711-1-ND,30
F5763CT-ND,15
490-13260-1-ND ,5
732-12836-ND,15
732-12845-ND,5
1175-1628-ND,5
WM1746-ND,5
WM1399CT-ND,5
ED1543-ND,5
277-1273-ND,5
WM1733-ND,39
WM1735-ND,34
S7037-ND,15
S7039-ND,30
3757-PJA3405_R1_00001CT-ND,10
A130363CT-ND,80
RHM240DCT-ND,15
RHM22DCT-ND,20
RNCP0603FTD22K1CT-ND,5
749-1658-1-ND,5
RNCP0603FTD1K00CT-ND,5
2019-RK73H1JTTD7680FCT-ND,50
563-1323-ND,5
679-2420-1-ND,5
1655-SRV05-4ACT-ND,5
NCV8161ASN330T1GOSCT-ND,5
336-5887-ND,5
296-25093-1-ND,11
296-14597-1-ND,10
W25Q128JVSIQCT-ND,5
XC2667CT-ND,5
50-ECS-.327-7-12-C-TR9CT-ND,5
587-4320-1-ND,10
490-5309-1-ND,15
490-6521-1-ND,10
SMAJ70A-FDICT-ND,5
SMAJ24CA-TPMSCT-ND,5
BZT52C12TQ-7-FDICT-ND,5
F5761CT-ND,5
S9194-ND,5
308-0640CDMCCDS-2R2MCCT-ND,10
800-3748-1-ND,5
541-1.0KUACT-ND,5
RNCP0603FTD10K0CT-ND,10
2019-RK73H1JTTD5900FCT-ND,5
505-LTC4359HDCB#TRPBFCT-ND,5
175-MAX20457ATIG/VY+-ND,5
DMN2004DMKDICT-ND,5
1175-1627-ND,4
